DATE,LEI01,LEI02,LEI03,LEI04,LEI05,LEI06,LEI07,LEI08,LEI09,LEI10,CEI01,CEI02,CEI03,CEI04,LGEI01,LGEI02,LGEI03,LGEI04,LGEI05,LGEI06,LGEI07
2014-01-01,41.6,326750,32797,44,68237,976,1822.356667,11072.15,2.786666667,1.6,137548,11800.5,100.038,1328414,35.1,1.3,100.3,3.25,1586.8147,0.2429548231,1.6
2014-02-01,41.6,335250,34641,30,67386,1039,1817.034737,11154.275,2.642105263,1.1,137714,11870.9,100.7918,1339979,36.5,1.29,100.1,3.25,1619.9149,0.2428057631,1.1
2014-03-01,42,321000,35032,27,68683,1067,1863.523333,11198.36,2.644285714,1.5,137968,11933,101.7782,1350652,35.3,1.3,100,3.25,1634.2248,0.2424177882,1.5
2014-04-01,41.9,322750,34319,28,66486,1090,1864.263333,11256.6,2.615238095,2,138293,11965.2,101.8337,1352609,34.9,1.3,100.5,3.25,1650.9991,0.2428391069,2
2014-05-01,42.1,313800,35937,32,65819,1018,1889.767143,11316.8,2.471904762,2.1,138511,11993.1,102.2325,1356343,34.4,1.31,100.4,3.25,1663.6423,0.2429151479,2.1
2014-06-01,42.1,313500,35256,34,69618,1010,1947.087619,11379.78,2.502857143,2.1,138837,12042.7,102.5722,1355815,33.9,1.31,100.7,3.25,1676.8625,0.2430105497,2.1
2014-07-01,42,301750,37653,36,67842,1076,1973.1,11438.175,2.450909091,2,139069,12085.3,102.8479,1364444,32.7,1.3,100.3,3.25,1694.88,0.2435972116,2
2014-08-01,42,302000,35743,40,68514,1047,1961.531905,11465.975,2.330952381,1.7,139257,12150.7,102.6491,1366998,32,1.31,100.2,3.25,1711.9741,0.2436839098,1.7
2014-09-01,42.2,295000,36054,41,69207,1077,1993.22619,11501.58,2.445714286,1.7,139566,12196.7,102.9858,1366811,31.9,1.32,100.3,3.25,1725.4095,0.2440873856,1.7
2014-10-01,42.1,288750,36663,39,65557,1094,1937.274348,11563.425,2.215454545,1.7,139818,12257,102.9911,1368570,32.3,1.33,100.6,3.25,1730.0136,0.2438187295,1.7
2014-11-01,42.2,291600,35986,38,63687,1059,2044.572105,11590.5,2.230555556,1.3,140109,12329.5,103.6669,1372234,32.7,1.35,100.6,3.25,1751.3963,0.2437575781,1.3
2014-12-01,42.1,284500,37748,38,66300,1072,2054.266364,11672.78,2.085909091,0.8,140377,12408.3,103.6139,1380177,32.7,1.35,101,3.25,1773.323,0.2444846529,0.8
2015-01-01,42,287600,35138,38,64791,1049,2028.1785,11725.55,1.765,-0.1,140568,12507.8,102.8479,1382524,32,1.39,101,3.25,1791.6118,0.2446931042,-0.1
2015-02-01,42,301250,35121,40,64232,1127,2082.195789,11853.35,1.861578947,0,140839,12552.7,102.2292,1376941,31.2,1.38,100.5,3.25,1808.048,0.2445579748,0
2015-03-01,41.8,284000,38295,40,64712,1072,2079.990455,11882.7,1.929090909,-0.1,140910,12508.2,101.8945,1384614,30.5,1.37,99.8,3.25,1834.7148,0.2466747803,-0.1
2015-04-01,41.8,286000,37376,47,64365,1166,2094.862857,11929.175,1.810454545,-0.2,141194,12543.4,101.2859,1395091,30.9,1.38,99.2,3.25,1847.7246,0.2475019834,-0.2
2015-05-01,41.8,274000,37914,48,62596,1272,2111.9435,11952,2.073,0,141525,12569.5,100.8408,1381123,30.7,1.39,99,3.25,1863.4958,0.2476640973,0
2015-06-01,41.8,273750,38742,48,63739,1379,2099.283636,12003.62,2.235,0.1,141699,12576.7,100.5063,1383784,28.4,1.38,98.5,3.25,1880.2715,0.2488795525,0.1
2015-07-01,41.8,277750,39775,49,63551,1140,2094.143636,12059.625,2.194090909,0.2,142001,12599.4,101.1831,1386840,28.1,1.39,99,3.25,1889.5767,0.2494249835,0.2
2015-08-01,41.8,275200,38858,52,63525,1165,2039.86619,12104.7,2.025238095,0.2,142126,12627.1,100.9115,1388664,28.4,1.4,99.2,3.25,1903.6165,0.2498586667,0.2
2015-09-01,41.7,269500,39627,55,63188,1144,1944.402381,12166.075,2.037619048,0,142281,12663,100.568,1403145,25.7,1.4,99.6,3.25,1914.7144,0.2515459724,0
2015-10-01,41.8,267000,38230,55,62996,1160,2024.812727,12182.425,1.945714286,0.2,142587,12700.5,100.1588,1399866,27.5,1.41,99.9,3.25,1928.8564,0.2521812229,0.2
2015-11-01,41.8,268500,39604,51,61848,1244,2080.6165,12284.66,2.144210526,0.5,142824,12694.1,99.4099,1396940,27.9,1.41,100.5,3.25,1946.0584,0.253284927,0.5
2015-12-01,41.8,271000,39078,53,60613,1212,2054.079545,12341.225,2.010909091,0.7,143097,12743.1,98.8329,1394894,27.9,1.44,100.2,3.363636364,1953.1034,0.2442636452,0.7
2016-01-01,41.9,279600,39843,56,61637,1161,1918.597895,12445.225,1.722631579,1.4,143205,12751.1,99.4797,1395837,29.1,1.44,99.3,3.5,1964.0616,0.2444943857,1.4
2016-02-01,41.8,266750,40369,56,61150,1187,1904.4185,12544.16,1.4055,1,143417,12745.9,98.9583,1407109,29.4,1.43,99.8,3.5,1987.3091,0.2455861958,1
2016-03-01,41.8,263250,38898,55,60583,1114,2021.954091,12605.75,1.528181818,0.9,143654,12745.1,98.1954,1407621,28.3,1.43,99.8,3.5,2019.2543,0.2471141157,0.9
2016-04-01,41.8,266000,39503,48,60924,1158,2075.535238,12685.625,1.438571429,1.1,143851,12725.5,98.4673,1405968,27.9,1.42,99.4,3.5,2033.4852,0.2480780988,1.1
2016-05-01,41.9,274500,38249,46,59566,1196,2065.550952,12766.46,1.44,1,143892,12719.2,98.2889,1398587,26.9,1.42,99,3.5,2048.2425,0.2490357313,1
2016-06-01,41.8,265250,38897,42,59608,1208,2083.891364,12833.525,1.267272727,1,144150,12735.5,98.7201,1406826,28,1.41,99.4,3.5,2051.0653,0.2499065614,1
2016-07-01,42,259400,39097,44,59809,1190,2148.902,12881.65,1.1085,0.8,144521,12787.7,98.8992,1405222,27.8,1.42,99.2,3.5,2057.909,0.2502145252,0.8
2016-08-01,41.8,263500,39441,44,61691,1205,2177.482174,12974.06,1.160869565,1.1,144664,12793.7,98.7249,1416348,27.2,1.42,99.7,3.5,2051.323,0.2510667993,1.1
2016-09-01,41.9,251500,39480,48,59308,1280,2157.690952,13040.325,1.235714286,1.5,144953,12830.4,98.606,1417950,26.5,1.41,101.1,3.5,2069.0274,0.2515428622,1.5
2016-10-01,41.9,255800,38996,48,59351,1278,2143.020952,13106.34,1.362,1.6,145071,12841,98.6703,1420099,26.6,1.41,101.4,3.5,2084.179,0.2516687025,1.6
2016-11-01,41.9,245750,38387,48,59244,1236,2164.985714,13181.85,1.737,1.7,145201,12881.2,98.2288,1420567,25.9,1.42,99.8,3.5,2088.9211,0.2527585312,1.7
2016-12-01,41.9,252200,39181,48,59539,1252,2246.629048,13209.025,1.956190476,2.1,145415,12917.3,98.8958,1437758,26.3,1.39,99.4,3.630952381,2083.9454,0.2530345661,2.1
2017-01-01,41.9,246500,39243,50,60419,1301,2275.116,13278.9,1.7775,2.5,145612,12957.6,98.7446,1431582,25.4,1.39,98.9,3.75,2082.7824,0.2521057163,2.5
2017-02-01,41.9,239750,38081,52,60740,1240,2329.910526,13352.575,1.763684211,2.7,145795,13011.8,98.3676,1428319,25.5,1.4,98.9,3.75,2082.8931,0.2520894458,2.7
2017-03-01,41.8,250250,37780,54,61013,1285,2366.822174,13421.9,1.695217391,2.4,145934,13063.2,99.1065,1425497,25.3,1.39,98.7,3.880434783,2066.8359,0.2522581175,2.4
2017-04-01,41.9,242000,36786,60,61308,1258,2359.309474,13474.65,1.391578947,2.2,146154,13084.8,100.0363,1422919,23.9,1.41,98.8,4,2068.2144,0.2521016939,2.2
2017-05-01,41.9,239750,38440,58,61404,1209,2395.345909,13541.34,1.397272727,1.9,146295,13173.3,100.147,1427911,24.9,1.39,99,4,2072.2691,0.2514218319,1.9
2017-06-01,42,240250,37874,54,60378,1329,2433.985455,13570.925,1.145,1.6,146506,13177.9,100.3042,1432684,25.1,1.4,98.8,4.136363636,2073.4323,0.252304915,1.6
2017-07-01,42,243600,36291,42,61535,1264,2454.1025,13625.96,1.1625,1.7,146734,13222.8,100.2092,1438238,25,1.41,98.7,4.25,2076.8906,0.2526041107,1.7
2017-08-01,42,239750,37574,48,61552,1314,2456.223043,13685.925,1.053043478,1.9,146924,13244.8,99.7055,1445591,24.2,1.39,99,4.25,2084.7599,0.2524265547,1.9
2017-09-01,41.9,269400,37184,52,64088,1257,2492.841,13722.075,1.047,2.2,146966,13276.4,99.7485,1452359,26.1,1.4,99.8,4.25,2102.6863,0.2521177825,2.2
2017-10-01,42,236250,38000,48,63703,1346,2556.997273,13779.7,1.204285714,2,147215,13325.2,100.988,1460463,25.7,1.39,100.3,4.25,2111.2437,0.2526183755,2
2017-11-01,42,238500,38615,48,63645,1302,2593.605714,13806.15,1.197619048,2.2,147411,13382.1,101.273,1473085,25.2,1.37,100.3,4.25,2106.0707,0.2536139496,2.2
2017-12-01,41.8,235800,37841,46,63795,1309,2664.3405,13846.55,1.104,2.1,147590,13422.6,101.3696,1482650,24,1.37,99.5,4.3875,2105.8936,0.253725767,2.1
2018-01-01,41.8,234250,38776,55,63324,1352,2789.80381,13864.92,1.167619048,2.1,147671,13421.6,101.3561,1465400,24.3,1.37,99.4,4.5,2110.4109,0.2519674144,2.1
2018-02-01,42.2,221500,39189,54,64087,1332,2705.155263,13901.05,1.442631579,2.2,148049,13450.9,101.6495,1469823,23,1.37,99.9,4.5,2112.0832,0.2517360909,2.2
2018-03-01,42.2,225600,39356,60,63553,1407,2702.77381,13958.875,1.344761905,2.4,148244,13476.5,102.298,1467346,24,1.37,99.8,4.579545455,2125.2996,0.2512367002,2.4
2018-04-01,42.3,222500,40478,60,64909,1391,2653.625238,14000,1.176666667,2.5,148397,13487.3,103.4095,1467032,22.5,1.37,100.9,4.75,2168.8096,0.2504045631,2.5
2018-05-01,42,221250,37069,63,66231,1331,2701.493636,14063.025,1.277727273,2.8,148667,13519.6,102.5408,1475638,21.1,1.36,100.6,4.75,2174.5393,0.250545449,2.8
2018-06-01,42.1,221600,39198,55,67247,1320,2754.352857,14128.175,1.091428571,2.9,148881,13565.8,103.3045,1473756,21.5,1.35,100.9,4.892857143,2191.3585,0.2500210531,2.9
2018-07-01,42.2,219750,40015,59,68749,1328,2793.643333,14166.46,0.979047619,2.9,149030,13632.8,103.5474,1475209,23.3,1.37,100.8,5,2204.1995,0.2502823378,2.9
2018-08-01,42.1,214500,39484,65,66798,1264,2857.820435,14206.2,0.9743478261,2.7,149259,13683.6,104.1659,1482301,22.6,1.35,101.6,5,2207.1228,0.2503894232,2.7
2018-09-01,42.1,211800,40014,74,66399,1289,2901.500526,14238.75,1.055263158,2.3,149364,13674.3,104.1315,1481916,23.9,1.36,101.9,5.026315789,2220.2218,0.2508877514,2.3
2018-10-01,42.1,214750,40952,72,67104,1275,2785.464783,14252.18,0.9640909091,2.5,149576,13683,103.9874,1478780,22.4,1.36,102.1,5.25,2242.8657,0.2508796498,2.5
2018-11-01,42,220750,40417,70,64292,1318,2723.229524,14250,0.918,2.2,149668,13707.6,103.9127,1477080,21.6,1.38,102.6,5.25,2270.5406,0.2516639944,2.2
2018-12-01,42.1,217600,40964,66,64894,1338,2567.307368,14359.92,0.5621052632,1.9,149908,13877.6,103.867,1476549,22,1.39,102.5,5.3375,2303.6733,0.249781323,1.9
2019-01-01,41.9,220000,40257,68,65841,1295,2607.39,14444.65,0.3138095238,1.6,150145,13853.2,103.3023,1484508,20.9,1.41,104.2,5.5,2324.823,0.2509646352,1.6
2019-02-01,41.7,226500,39965,72,65221,1304,2754.864211,14473.575,0.2763157895,1.5,150095,13893.5,102.728,1483800,21.8,1.41,104.4,5.5,2330.6452,0.2511941644,1.5
2019-03-01,41.7,217800,40177,66,66457,1316,2803.98381,14513.775,0.1671428571,1.9,150263,13899.9,102.8635,1483449,22.1,1.42,105,5.5,2340.609,0.2514500854,1.9
2019-04-01,41.6,215000,38628,72,65737,1337,2903.8,14568.18,0.11,2,150482,13857.4,102.2543,1469179,22.5,1.44,104.7,5.5,2332.2297,0.2524497793,2
2019-05-01,41.5,218000,39096,70,65271,1337,2854.705909,14654.425,0.002272727273,1.8,150545,13850.5,102.4519,1473415,24.3,1.45,105.5,5.5,2334.8093,0.2533682974,1.8
2019-06-01,41.6,221200,40447,66,66139,1276,2890.166,14776.375,-0.3015,1.6,150720,13853,102.384,1485563,22.3,1.46,106.3,5.5,2338.9447,0.2539587913,1.6
2019-07-01,41.5,212000,39825,62,65823,1369,2996.113636,14865.7,-0.3436363636,1.8,150913,13848.4,102.0568,1485053,20,1.47,106.5,5.5,2346.5534,0.2546277465,1.8
2019-08-01,41.5,215800,39229,64,65593,1479,2897.498182,14937.65,-0.4986363636,1.7,151108,13912.9,102.6882,1493174,22.1,1.48,106.6,5.25,2360.7362,0.2538335836,1.7
2019-09-01,41.5,212750,38658,62,65187,1439,2982.156,15027.66,-0.353,1.7,151329,13933.7,102.3143,1491257,22.1,1.49,107.5,5.15,2362.6089,0.2539807288,1.7
2019-10-01,41.4,214250,38044,60,65642,1509,2977.675217,15154.65,-0.1231818182,1.8,151524,13947.5,101.4645,1482087,21.8,1.5,107.1,4.988636364,2360.6859,0.2539563725,1.8
2019-11-01,41.4,217600,37951,66,65189,1509,3104.9045,15253.7,0.2594736842,2.1,151758,14024,101.9876,1488074,19.7,1.5,107.1,4.75,2364.1283,0.2530986043,2.1
2019-12-01,41.4,225250,37451,72,65045,1453,3176.749524,15316.28,0.3119047619,2.3,151919,13997.4,101.6179,1485052,20.8,1.51,106.6,4.75,2359.0938,0.2549327937,2.3
2020-01-01,41.4,211250,36603,74,65765,1550,3278.202857,15408.7,0.2057142857,2.5,152234,14113.8,101.0918,1486517,22.2,1.52,108.3,4.75,2353.6707,0.252723231,2.5
2020-02-01,41.7,212200,38205,85,64885,1478,3277.314211,15447.575,-0.07947368421,2.3,152523,14225.6,101.3247,1491663,20.8,1.51,109,4.75,2349.8658,0.251989033,2.3
2020-03-01,41.3,2344000,30301,86,64103,1382,2652.393636,15910.38,0.2445454545,1.5,150840,13872.2,97.4477,1432305,16.7,1.58,108.9,3.75,2568.8228,0.2556199917,1.5
2020-04-01,38.5,4667750,13709,82,59872,1094,2761.975238,16961.825,0.609047619,0.3,130161,13088,84.2018,1267304,6.1,1.83,109.1,3.25,2930.7712,0.2188105907,0.3
2020-05-01,39.4,2148000,17478,75,61297,1246,2919.615,17829.95,0.624,0.1,132994,13325.5,85.8434,1368553,10.4,1.79,109.7,3.25,3039.9062,0.2288626559,0.1
2020-06-01,39.9,1476250,34092,69,64300,1296,3104.660909,18141.42,0.6518181818,0.6,137840,13543.8,91.1622,1473373,15.5,1.63,109.6,3.25,2927.9896,0.2327833889,0.6
2020-07-01,40.7,1384250,42501,70,66189,1542,3207.619091,18333.2,0.53,1,139566,13678.8,94.8887,1512209,17.3,1.54,109.9,3.25,2859.1084,0.231495817,1
2020-08-01,41.1,918600,39936,73,67791,1522,3391.71,18373.96,0.5552380952,1.3,141149,13822.2,95.8924,1515433,20,1.54,111.4,3.25,2810.3164,0.2390049673,1.3
2020-09-01,41.2,851000,40228,72,68646,1589,3365.516667,18623.7,0.5895238095,1.4,141865,13959.5,95.6019,1524622,21,1.53,112,3.25,2746.6877,0.238225737,1.4
2020-10-01,41.3,789200,39320,70,69626,1595,3418.701364,18727.7,0.6971428571,1.2,142545,14153.1,96.6454,1539562,21.4,1.51,111.7,3.25,2684.0988,0.2392839542,1.2
2020-11-01,41.3,735250,40227,64,70563,1696,3548.9925,18951.46,0.7831578947,1.2,142809,14115.8,97.1609,1536717,23,1.51,111.6,3.25,2634.1552,0.243020546,1.2
2020-12-01,41.3,823000,41145,57,71619,1758,3695.31,19089.125,0.8436363636,1.4,142503,14119.8,98.2854,1530635,23.4,1.49,111.9,3.25,2600.1935,0.2422974114,1.4